Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Break,8/27/2025,1:00 PM,8/27/2025,1:30 PM,,,,
Break,8/28/2025,1:00 PM,8/28/2025,1:30 PM,,,,
Break,9/5/2025,1:00 PM,9/5/2025,1:30 PM,,,,
Break,9/8/2025,1:00 PM,9/8/2025,1:30 PM,,,,
Break,9/9/2025,9:40 AM,9/9/2025,10:00 AM,,,,
Break,9/11/2025,1:00 PM,9/11/2025,1:30 PM,,,,
Break,9/16/2025,9:40 AM,9/16/2025,10:00 AM,,,,
Break,9/18/2025,1:00 PM,9/18/2025,1:30 PM,,,,
Break,9/19/2025,1:00 PM,9/19/2025,1:30 PM,,,,
Break,9/23/2025,9:40 AM,9/23/2025,10:00 AM,,,,
Break,9/25/2025,1:00 PM,9/25/2025,1:30 PM,,,,
Break,10/1/2025,1:00 PM,10/1/2025,1:30 PM,,,,
Break,10/3/2025,1:00 PM,10/3/2025,1:30 PM,,,,
Break,10/7/2025,10:10 AM,10/7/2025,10:30 AM,,,,
Break,10/9/2025,1:00 PM,10/9/2025,1:30 PM,,,,
Break,10/10/2025,1:00 PM,10/10/2025,1:30 PM,,,,
Break,10/16/2025,1:00 PM,10/16/2025,1:30 PM,,,,
Break,10/21/2025,9:40 AM,10/21/2025,10:00 AM,,,,
Break,10/22/2025,1:00 PM,10/22/2025,1:30 PM,,,,
Break,10/23/2025,1:00 PM,10/23/2025,1:30 PM,,,,
Break,10/27/2025,1:00 PM,10/27/2025,1:30 PM,,,,
Break,10/28/2025,9:40 AM,10/28/2025,10:00 AM,,,,
Break,10/30/2025,1:00 PM,10/30/2025,1:30 PM,,,,
Break,10/31/2025,1:00 PM,10/31/2025,1:30 PM,,,,
Break,11/3/2025,1:00 PM,11/3/2025,1:30 PM,,,,
Break,11/4/2025,10:10 AM,11/4/2025,10:30 AM,,,,
Break,11/5/2025,1:00 PM,11/5/2025,1:30 PM,,,,
Break,11/10/2025,1:00 PM,11/10/2025,1:30 PM,,,,
Break,11/11/2025,9:40 AM,11/11/2025,10:00 AM,,,,
Break,11/12/2025,1:00 PM,11/12/2025,1:30 PM,,,,
Break,11/17/2025,1:00 PM,11/17/2025,1:30 PM,,,,
Break,11/18/2025,9:40 AM,11/18/2025,10:00 AM,,,,
Break,11/19/2025,1:00 PM,11/19/2025,1:30 PM,,,,
Break,11/20/2025,1:00 PM,11/20/2025,1:30 PM,,,,
Break,11/21/2025,1:00 PM,11/21/2025,1:30 PM,,,,
Break,11/25/2025,10:10 AM,11/25/2025,10:30 AM,,,,
Break,12/1/2025,1:00 PM,12/1/2025,1:30 PM,,,,
Break,12/2/2025,9:40 AM,12/2/2025,10:00 AM,,,,
Break,12/4/2025,1:00 PM,12/4/2025,1:30 PM,,,,
Break,12/5/2025,1:00 PM,12/5/2025,1:30 PM,,,,
Break,12/9/2025,9:40 AM,12/9/2025,10:00 AM,,,,
Break,1/7/2026,1:00 PM,1/7/2026,1:30 PM,,,,
Break,1/8/2026,1:00 PM,1/8/2026,1:30 PM,,,,
Break,1/12/2026,1:00 PM,1/12/2026,1:30 PM,,,,
Break,1/13/2026,9:40 AM,1/13/2026,10:00 AM,,,,
Break,1/15/2026,1:00 PM,1/15/2026,1:30 PM,,,,
Break,1/16/2026,1:00 PM,1/16/2026,1:30 PM,,,,
Break,1/22/2026,1:00 PM,1/22/2026,1:30 PM,,,,
Break,1/27/2026,9:40 AM,1/27/2026,10:00 AM,,,,
Break,1/28/2026,1:00 PM,1/28/2026,1:30 PM,,,,
Break,1/29/2026,1:00 PM,1/29/2026,1:30 PM,,,,
Break,2/2/2026,1:00 PM,2/2/2026,1:30 PM,,,,
Break,2/3/2026,9:40 AM,2/3/2026,10:00 AM,,,,
Break,2/5/2026,1:00 PM,2/5/2026,1:30 PM,,,,
Break,2/6/2026,1:00 PM,2/6/2026,1:30 PM,,,,
Break,2/9/2026,1:00 PM,2/9/2026,1:30 PM,,,,
Break,2/10/2026,10:10 AM,2/10/2026,10:30 AM,,,,
break,2/11/2026,1:00 PM,2/11/2026,1:30 PM,,,,
Break,2/18/2026,1:00 PM,2/18/2026,1:30 PM,,,,
Break,2/19/2026,1:00 PM,2/19/2026,1:30 PM,,,,
Break,2/23/2026,1:00 PM,2/23/2026,1:30 PM,,,,
Break,2/24/2026,9:40 AM,2/24/2026,10:00 AM,,,,
Break,2/26/2026,1:00 PM,2/26/2026,1:30 PM,,,,
Break,2/27/2026,1:00 PM,2/27/2026,1:30 PM,,,,
Break,3/2/2026,1:00 PM,3/2/2026,1:30 PM,,,,
Break,3/3/2026,10:10 AM,3/3/2026,10:30 AM,,,,
Break,3/4/2026,1:00 PM,3/4/2026,1:30 PM,,,,
Break,3/9/2026,1:00 PM,3/9/2026,1:30 PM,,,,
Break,3/10/2026,9:40 AM,3/10/2026,10:00 AM,,,,
Break,3/12/2026,9:40 AM,3/12/2026,10:00 AM,,,,
Break,3/12/2026,1:00 PM,3/12/2026,1:30 PM,,,,
Break,3/30/2026,1:00 PM,3/30/2026,1:30 PM,,,,
Break,3/31/2026,10:10 AM,3/31/2026,10:30 AM,,,,
Break,4/1/2026,1:00 PM,4/1/2026,1:30 PM,,,,
Break,4/3/2026,1:00 PM,4/3/2026,1:30 PM,,,,
Break,4/6/2026,1:00 PM,4/6/2026,1:30 PM,,,,
Break,4/7/2026,10:10 AM,4/7/2026,10:30 AM,,,,
Break,4/8/2026,1:00 PM,4/8/2026,1:30 PM,,,,
Break,4/13/2026,1:00 PM,4/13/2026,1:30 PM,,,,
Break,4/14/2026,9:40 AM,4/14/2026,10:00 AM,,,,
Break,4/15/2026,1:00 PM,4/15/2026,1:30 PM,,,,
Break,4/17/2026,1:00 PM,4/17/2026,1:30 PM,,,,
Break,4/21/2026,10:10 AM,4/21/2026,10:30 AM,,,,
Break,4/22/2026,1:00 PM,4/22/2026,1:30 PM,,,,
Break,4/24/2026,1:00 PM,4/24/2026,1:30 PM,,,,
Break,4/27/2026,1:00 PM,4/27/2026,1:30 PM,,,,
Break,4/28/2026,10:10 AM,4/28/2026,10:30 AM,,,,
Break,4/29/2026,1:00 PM,4/29/2026,1:30 PM,,,,
Break,5/4/2026,1:00 PM,5/4/2026,1:30 PM,,,,
Break,5/5/2026,9:40 AM,5/5/2026,10:00 AM,,,,
Break,5/6/2026,1:00 PM,5/6/2026,1:30 PM,,,,
Break,5/8/2026,1:00 PM,5/8/2026,1:30 PM,,,,
Break,5/12/2026,10:10 AM,5/12/2026,10:30 AM,,,,
Break,5/13/2026,1:00 PM,5/13/2026,1:30 PM,,,,
Break,5/14/2026,1:00 PM,5/14/2026,1:30 PM,,,,
Break,5/18/2026,1:00 PM,5/18/2026,1:30 PM,,,,
