Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Clubs & Activities,9/4/2025,1:30 PM,9/4/2025,,,,,
Clubs & Activities,9/15/2025,1:30 PM,9/15/2025,,,,,
Clubs & Activities,9/26/2025,1:30 PM,9/26/2025,,,,,
Clubs & Activities,10/7/2025,1:30 PM,10/7/2025,,,,,
Clubs & Activities,10/20/2025,1:30 PM,10/20/2025,,,,,
Clubs & Activities,10/29/2025,1:30 PM,10/29/2025,,,,,
Clubs & Activities,11/7/2025,1:30 PM,11/7/2025,,,,,
Clubs & Activities,11/14/2025,1:30 PM,11/14/2025,,,,,
Clubs & Activities,11/25/2025,1:30 PM,11/25/2025,,,,,
Clubs & Activities,12/11/2025,1:30 PM,12/11/2025,,,,,
Clubs & Activities,1/14/2026,1:30 PM,1/14/2026,,,,,
Clubs & Activities,1/23/2026,1:30 PM,1/23/2026,,,,,
Clubs & Activities,2/4/2026,1:30 PM,2/4/2026,,,,,
Clubs & Activities,2/13/2026,1:30 PM,2/13/2026,,,,,
Clubs & Activities,2/25/2026,1:30 PM,2/25/2026,,,,,
Clubs & Activities,3/6/2026,1:30 PM,3/6/2026,,,,,
Clubs & Activities,3/13/2026,1:30 PM,3/13/2026,,,,,
Clubs & Activities,4/10/2026,1:30 PM,4/10/2026,,,,,
Clubs & Activities,4/21/2026,1:30 PM,4/21/2026,,,,,
Clubs & Activities,5/1/2026,1:30 PM,5/1/2026,,,,,
Clubs & Activities,5/12/2026,1:30 PM,5/12/2026,,,,,
Clubs & Activities,5/20/2026,1:30 PM,5/20/2026,,,,,
