Subject,Start Date,Start Time,End Date,End Time
Exam - A2,12/12/2025,8:30 AM,12/12/2025,10:30 AM
Exam - A5,12/12/2025,1:00 PM,12/12/2025,3:00 PM
Exam - A7,12/15/2025,8:30 AM,12/15/2025,10:30 AM
Exam - A6,12/15/2025,1:00 PM,12/15/2025,3:00 PM
Exam - A3,12/16/2025,8:30 AM,12/16/2025,10:30 AM
Exam - A8,12/16/2025,1:00 PM,12/16/2025,3:00 PM
Exam - A1,12/17/2025,8:30 AM,12/17/2025,10:30 AM
Exam - A4,12/17/2025,1:00 PM,12/17/2025,3:00 PM
Exam - A7,5/21/2026,8:30 AM,5/21/2026,10:30 AM
Exam - A3,5/21/2026,1:00 PM,5/21/2026,3:00 PM
Exam - A8,5/22/2026,8:30 AM,5/22/2026,10:30 AM
Exam - A6,5/22/2026,1:00 PM,5/22/2026,3:00 PM
Exam - A4,5/26/2026,8:30 AM,5/26/2026,10:30 AM
Exam - A1,5/26/2026,1:00 PM,5/26/2026,3:00 PM
Exam - A2,5/27/2026,8:30 AM,5/27/2026,10:30 AM
Exam - A5,5/27/2026,1:00 PM,5/27/2026,3:00 PM
