Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Faculty & Staff Opening Meeting,8/14/2025,1:00 PM,8/14/2025,4:00 PM,,,,
Faculty & Staff Opening Dinner,8/14/2025,6:00 PM,8/14/2025,8:30 PM,,,,
Residential Staff Meeting,8/15/2025,9:00 AM,8/15/2025,1:00 PM,,,,
Late Start - 8:40 AM,8/29/2025,8:25 AM,8/29/2025,8:40 AM,,,,
Faculty & Staff Meeting ,9/4/2025,7:50 AM,9/4/2025,8:35 AM,,,,
Late Start - 8:40 AM,9/10/2025,8:25 AM,9/10/2025,8:40 AM,,,,
Faculty & Staff Meeting ,9/15/2025,7:50 AM,9/15/2025,8:35 AM,,,,
Late Start - 8:40 AM,9/22/2025,8:25 AM,9/22/2025,8:40 AM,,,,
Late Start - 8:40 AM,10/2/2025,8:25 AM,10/2/2025,8:40 AM,,,,
Faculty & Staff Meeting ,10/7/2025,7:50 AM,10/7/2025,8:35 AM,,,,
Late Start - 8:40 AM,10/15/2025,8:25 AM,10/15/2025,8:40 AM,,,,
Faculty & Staff Meeting ,10/20/2025,7:50 AM,10/20/2025,8:35 AM,,,,
Late Start - 8:40 AM,10/24/2025,8:25 AM,10/24/2025,8:40 AM,,,,
Faculty & Staff Meeting,10/29/2025,7:50 AM,10/29/2025,8:35 AM,,,,
Late Start - 8:40 AM,11/4/2025,8:25 AM,11/4/2025,8:40 AM,,,,
Faculty & Staff Meeting ,11/7/2025,7:50 AM,11/7/2025,8:35 AM,,,,
Late Start - 8:40 AM,11/13/2025,8:25 AM,11/13/2025,8:40 AM,,,,
Faculty & Staff Meeting,11/14/2025,7:50 AM,11/14/2025,8:35 AM,,,,
Late Start - 8:40 AM,11/24/2025,8:25 AM,11/24/2025,8:40 AM,,,,
Faculty & Staff Meeting,11/25/2025,7:50 AM,11/25/2025,8:35 AM,,,,
Late Start - 8:40 AM,12/8/2025,8:25 AM,12/8/2025,8:40 AM,,,,
Faculty & Staff Meeting,12/11/2025,7:50 AM,12/11/2025,8:35 AM,,,,
Final Faculty/Staff Meeting,12/19/2025,9:00 AM,12/19/2025,12:00 PM,,,,
Late Start - 8:40 AM,1/14/2026,8:25 AM,1/14/2026,3:00 PM,,,,
Faculty & Staff Meeting,1/23/2026,7:50 AM,1/23/2026,8:35 AM,,,,
Late Start - 8:40 AM,1/23/2026,8:25 AM,1/23/2026,8:40 AM,,,,
Faculty & Staff Meeting,1/30/2026,7:50 AM,1/30/2026,8:35 AM,,,,
Late Start - 8:40 AM,2/4/2026,8:25 AM,2/4/2026,8:40 AM,,,,
Faculty & Staff Meeting ,2/10/2026,7:50 AM,2/10/2026,8:35 AM,,,,
Late Start - 8:40 AM,2/13/2026,8:25 AM,2/13/2026,8:40 AM,,,,
Faculty & Staff Meeting ,2/20/2026,7:50 AM,2/20/2026,8:35 AM,,,,
Late Start - 8:40 AM,2/25/2026,8:25 AM,2/25/2026,8:40 AM,,,,
Faculty & Staff Meeting,3/3/2026,7:50 AM,3/3/2026,8:35 AM,,,,
Late Start - 8:40 AM,3/6/2026,8:25 AM,3/6/2026,8:40 AM,,,,
Faculty & Staff Meeting,3/13/2026,7:50 AM,3/13/2026,8:35 AM,,,,
Late Start - 8:40 AM,3/31/2026,8:25 AM,3/31/2026,8:40 AM,,,,
Faculty & Staff Meeting,4/7/2026,7:50 AM,4/7/2026,8:35 AM,,,,
Late Start - 8:40 AM,4/10/2026,8:25 AM,4/10/2026,8:40 AM,,,,
Faculty & Staff Meeting,4/16/2026,7:50 AM,4/16/2026,8:35 AM,,,,
Late Start - 8:40 AM,4/21/2026,8:25 AM,4/21/2026,8:40 AM,,,,
Faculty & Staff Meeting,4/28/2026,7:50 AM,4/28/2026,8:35 AM,,,,
Late Start - 8:40 AM,5/1/2026,8:25 AM,5/1/2026,8:40 AM,,,,
Faculty & Staff Meeting,5/7/2026,7:50 AM,5/7/2026,8:35 AM,,,,
Late Start - 8:40 AM,5/12/2026,8:25 AM,5/12/2026,8:40 AM,,,,
Faculty & Staff Meeting,5/15/2026,7:50 AM,5/15/2026,8:35 AM,,,,
Late Start - 8:40 AM,5/20/2026,8:25 AM,5/20/2026,8:40 AM,,,,
Final Faculty/Staff Meeting,6/3/2026,9:00 AM,6/3/2026,12:00 PM,,,,
