Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
National Civility Month,8/1/2025,,8/1/2025,,,(August 1 - 31) ,National Civility Month,
Krishna Janmashtami (Hinduism),8/16/2025,,8/16/2025,,,(Work restricted),,
Paryusana (Jainism),8/21/2025,,8/21/2025,,,"(August 21 - 28)(Work restricted) This is the holiest period of the year, marked by fasting, meditation, prayer, and public readings of Lord Mahavira's life story. Observed mainly by the followers of the Shvetambara sect, Paryusana concludes on Samvatsari, the most solemn occasion of self-scrutiny and forgiveness. On this day, Jains ask for forgiveness from their relatives and friends for any offense they may have committed by deed, word, or thought.",,
Ganesh Chaturthi (Hinduism),8/26/2025,,8/26/2025,,,(August 26 - 27),Ganesh Chaturthi,
National Hispanic Heritage Month,9/15/2025,,9/15/2025,,,(September 15 - October 15),National Hispanic Heritage Month,
Mawlid An-Nabi (Islam),9/4/2025,,9/4/2025,,,"(September 4 - 5)(Begins at sundown) (Work restricted)
",,
Das Lakshan Parva Festival (Jainism),9/8/2025,,9/8/2025,,,"(September 8 - 17) (Work restricted) It is a 10-day festival that is considered to be a holy convocation. These days, Jains impose some restraints on their daily activities by fasting, meditation, and praying. The last day of Paryusana is the most solemn occasion of forgiveness and examining one's thoughts and feelings. On this day, Jains ask for forgiveness from their relatives and friends for any offense they may have committed by deed, word, or thought.",,
Feast of the Nativity of the Theotokos (Orthodox Christianity),9/21/2025,,9/21/2025,,,(September 21),,
Rosh Hashanah (Judaism),9/22/2025,,9/22/2025,,,"(September 22 - 24) (Begins at sundown) (Work restricted) The Jewish New Year and the anniversary of the world's creation, Rosh Hashanah, is the first of the Ten Days of Awe (also known as the Ten Days of Repentance) that conclude on Yom Kippur. It marks the beginning of the holiest time of the year for Jews.

",,
Navaratri begins (Hinduism),9/22/2025,,9/22/2025,,,(September 22 - October 2),Navaratri,
Orange Shirt day (Canada),9/30/2026,,9/30/2026,,,September 30),Orange Shirt Day,
Navaratri ends (Hinduism),10/2/2025,,10/2/2025,,,(October 2) ,,
National Disability Employment Awareness Month,10/1/2025,,10/1/2025,,,(October 1 - 31),National Disability Employment Awareness Month,
Filipino American History Month,10/1/2025,,10/1/2025,,,(October 1 - 31),Filipino American History Month,
Italian American Heritage Month,10/1/2025,,10/1/2025,,,(October 1 - 31),Italian American Heritage Month,
Polish American Heritage Month,10/1/2025,,10/1/2025,,,(October 1 - 31),Polish American Heritage Month,
German American Heritage Month,10/1/2025,,10/1/2025,,,(October 1 - 31),German American Heritage Month,
Global Diversity Awareness Month,10/1/2025,,10/1/2025,,,October 1 - 31),Global Diversity Awareness Month,
Yom Kippur (Judaism),10/1/2025,,10/1/2025,,,"(October 1- 2) (Begins at sundown) (Work restricted) Yom Kippur, the conclusion of the Ten Days of Awe, is the holiest and most solemn day of the Jewish year. It begins at sundown and is characterized by repentance, fasting, and forgiveness.",,
Dusserrah (Vijaya Dashami) (Hinduism),10/2/2025,,10/2/2025,,,"(October 2) Dussehra (Vijayadashami) is a major Hindu festival celebrated yearly at the end of Durga Puja and Navaratri. It is observed on the tenth day of Ashvin, the seventh day in the Hindu lunisolar calendar.",,
