Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Morning Meeting,8/27/2025,9:40 AM,8/27/2025,10:00 AM,,,,
Morning Meeting,8/29/2025,10:10 AM,8/29/2025,10:30 AM,,,,
Morning Meeting,9/3/2025,9:40 AM,9/3/2025,10:00 AM,,,,
Morning Meeting,9/5/2025,9:40 AM,9/5/2025,10:00 AM,,,,
Morning Meeting,9/10/2025,10:10 AM,9/10/2025,10:30 AM,,,,
Morning Meeting,9/12/2025,9:40 AM,9/12/2025,10:00 AM,,,,
Morning Meeting,9/19/2025,9:40 AM,9/19/2025,10:00 AM,,,,
Morning Meeting,9/24/2025,9:40 AM,9/24/2025,10:00 AM,,,,
Morning Meeting,9/26/2025,9:40 AM,9/26/2025,10:00 AM,,,,
Morning Meeting,10/1/2025,9:40 AM,10/1/2025,10:00 AM,,,,
Morning Meeting,10/10/2025,9:40 AM,10/10/2025,10:00 AM,,,,
Morning Meeting,10/15/2025,10:10 AM,10/15/2025,10:30 AM,,,,
Morning Meeting,10/17/2025,9:40 AM,10/17/2025,10:00 AM,,,,
Morning Meeting,10/22/2025,9:40 AM,10/22/2025,10:00 AM,,,,
Morning Meeting,10/24/2025,10:10 AM,10/24/2025,10:30 AM,,,,
Morning Meeting,10/29/2025,10:10 AM,10/29/2025,10:30 AM,,,,
Morning Meeting,10/31/2025,9:40 AM,10/31/2025,10:00 AM,,,,
Morning Meeting,11/5/2025,9:40 AM,11/5/2025,10:00 AM,,,,
Morning Meeting,11/7/2025,10:10 AM,11/7/2025,10:30 AM,,,,
Morning Meeting,11/12/2025,9:40 AM,11/12/2025,10:00 AM,,,,
Morning Meeting,11/14/2025,10:10 AM,11/14/2025,10:30 AM,,,,
Morning Meeting,11/19/2025,9:40 AM,11/19/2025,10:00 AM,,,,
Morning Meeting,11/21/2025,9:40 AM,11/21/2025,10:00 AM,,,,
Morning Meeting,12/3/2025,9:40 AM,12/3/2025,10:00 AM,,,,
Morning Meeting,12/5/2025,9:40 AM,12/5/2025,10:00 AM,,,,
Morning Meeting,12/10/2025,9:40 AM,12/10/2025,10:00 AM,,,,
Morning Meeting,1/7/2026,9:40 AM,1/7/2026,10:00 AM,,,,
Morning Meeting,1/9/2026,10:10 AM,1/9/2026,10:30 AM,,,,
Morning Meeting,1/14/2026,10:10 AM,1/14/2026,10:30 AM,,,,
Morning Meeting,1/16/2026,9:40 AM,1/16/2026,10:00 AM,,,,
Morning Meeting,1/21/2026,10:10 AM,1/21/2026,10:30 AM,,,,
Morning Meeting,1/23/2026,10:10 AM,1/23/2026,10:30 AM,,,,
Morning Meeting,1/28/2026,9:40 AM,1/28/2026,10:00 AM,,,,
Morning Meeting,1/30/2026,10:10 AM,1/30/2026,10:30 AM,,,,
Morning Meeting,2/4/2026,10:10 AM,2/4/2026,10:30 AM,,,,
Morning Meeting,2/6/2026,9:40 AM,2/6/2026,10:00 AM,,,,
Morning Meeting,2/11/2026,9:40 AM,2/11/2026,10:00 AM,,,,
Morning Meeting,2/13/2026,10:10 AM,2/13/2026,10:30 AM,,,,
Morning Meeting,2/18/2026,9:40 AM,2/18/2026,10:00 AM,,,,
Morning Meeting,2/20/2026,10:10 AM,2/20/2026,10:30 AM,,,,
Morning Meeting,2/25/2026,10:10 AM,2/25/2026,10:30 AM,,,,
Morning Meeting,2/27/2026,9:40 AM,2/27/2026,10:00 AM,,,,
Morning Meeting,3/4/2026,9:40 AM,3/4/2026,10:00 AM,,,,
Morning Meeting,3/6/2026,10:10 AM,3/6/2026,10:30 AM,,,,
Morning Meeting,3/13/2026,10:10 AM,3/13/2026,10:30 AM,,,,
Morning Meeting,4/1/2026,9:40 AM,4/1/2026,10:00 AM,,,,
Morning Meeting,4/3/2026,9:40 AM,4/3/2026,10:00 AM,,,,
Morning Meeting,4/8/2026,9:40 AM,4/8/2026,10:00 AM,,,,
Morning Meeting,4/10/2026,10:10 AM,4/10/2026,10:30 AM,,,,
Morning Meeting,4/15/2026,9:40 AM,4/15/2026,10:00 AM,,,,
Morning Meeting,4/17/2026,9:40 AM,4/17/2026,10:00 AM,,,,
Morning Meeting,4/22/2026,9:40 AM,4/22/2026,10:00 AM,,,,
Morning Meeting,4/24/2026,9:40 AM,4/24/2026,10:00 AM,,,,
Morning Meeting,4/29/2026,9:40 AM,4/29/2026,10:00 AM,,,,
Morning Meeting,5/1/2026,10:10 AM,5/1/2026,10:30 AM,,,,
Morning Meeting,5/6/2026,9:40 AM,5/6/2026,10:00 AM,,,,
Morning Meeting,5/8/2026,9:40 AM,5/8/2026,10:00 AM,,,,
Morning Meeting,5/13/2026,9:40 AM,5/13/2026,10:00 AM,,,,
Morning Meeting,5/15/2026,10:10 AM,5/15/2026,10:30 AM,,,,
Morning Meeting,5/20/2026,10:10 AM,5/20/2026,10:30 AM,,,,
