Subject,Start Date,Start Time,Start Date,End Time
Advisory,8/26/2024,8:10 AM,8/26/2024,9:00 AM
Advisory,8/27/2024,9:40 AM,8/27/2024,10:00 AM
Advisory,9/3/2024,9:40 AM,9/3/2024,10:00 AM
Advisory,10/15/2024,9:40 AM,10/15/2024,10:00 AM
Advisory,1/21/2025,10:10 AM,1/21/2025,10:30 AM
Advisory,2/18/2025,9:40 AM,2/18/2025,10:00 AM
Advisory,8/29/2024,9:40 AM,8/29/2024,10:00 AM
Advisory,9/5/2024,10:10 AM,9/5/2024,10:30 AM
Advisory,9/6/2024,9:40 AM,9/6/2024,10:00 AM
Advisory,9/9/2024,9:40 AM,9/9/2024,10:00 AM
Advisory,9/12/2024,9:40 AM,9/12/2024,10:00 AM
Advisory,9/16/2024,10:10 AM,9/16/2024,10:30 AM
Advisory,9/19/2024,9:40 AM,9/19/2024,10:00 AM
Advisory,9/23/2024,10:10 AM,9/23/2024,10:30 AM
Advisory,9/26/2024,9:40 AM,9/26/2024,10:00 AM
Advisory,9/30/2024,9:40 AM,9/30/2024,10:00 AM
Advisory,10/3/2024,9:40 AM,10/3/2024,10:00 AM
Advisory,10/7/2024,10:10 AM,10/7/2024,10:30 AM
Advisory,10/10/2024,9:40 AM,10/10/2024,10:00 AM
Advisory,10/17/2024,9:40 AM,10/17/2024,10:00 AM
Advisory,10/21/2024,9:40 AM,10/21/2024,10:00 AM
Advisory,10/24/2024,10:10 AM,10/24/2024,10:30 AM
Advisory,10/28/2024,9:40 AM,10/28/2024,10:00 AM
Advisory,10/31/2024,9:40 AM,10/31/2024,10:00 AM
Advisory,11/4/2024,10:10 AM,11/4/2024,10:30 AM
Advisory,11/7/2024,10:10 AM,11/7/2024,10:30 AM
Advisory,11/11/2024,9:40 AM,11/11/2024,10:00 AM
Advisory,11/14/2024,9:40 AM,11/14/2024,10:00 AM
Advisory,11/18/2024,10:10 AM,11/18/2024,10:30 AM
Advisory,11/21/2024,9:40 AM,11/21/2024,10:00 AM
Advisory,11/25/2024,9:40 AM,11/25/2024,10:00 AM
Advisory,12/2/2024,9:40 AM,12/2/2024,10:00 AM
Advisory,12/5/2024,9:40 AM,12/5/2024,10:00 AM
Advisory,12/9/2024,9:40 AM,12/9/2024,10:00 AM
Advisory,1/6/2025,9:40 AM,1/6/2025,10:00 AM
Advisory,1/9/2025,10:10 AM,1/9/2025,10:30 AM
Advisory,1/13/2025,9:40 AM,1/13/2025,10:00 AM
Advisory,1/16/2025,9:40 AM,1/16/2025,10:00 AM
Advisory,1/23/2025,9:40 AM,1/23/2025,10:00 AM
Advisory,1/27/2025,9:40 AM,1/27/2025,10:00 AM
Advisory,1/30/2025,10:10 AM,1/30/2025,10:30 AM
Advisory,2/3/2025,9:40 AM,2/3/2025,10:00 AM
Advisory,2/6/2025,9:40 AM,2/6/2025,10:00 AM
Advisory,2/10/2025,10:10 AM,2/10/2025,10:30 AM
Advisory,2/13/2025,10:10 AM,2/13/2025,10:30 AM
Advisory,2/20/2025,10:10 AM,2/20/2025,10:30 AM
Advisory,2/24/2025,9:40 AM,2/24/2025,10:00 AM
Advisory,2/27/2025,9:40 AM,2/27/2025,10:00 AM
Advisory,3/3/2025,10:10 AM,3/3/2025,10:30 AM
Advisory,3/6/2025,10:10 AM,3/6/2025,10:30 AM
Advisory,3/10/2025,9:40 AM,3/10/2025,10:00 AM
Advisory,3/13/2025,10:10 AM,3/13/2025,10:30 AM
Advisory,3/31/2025,9:40 AM,3/31/2025,10:00 AM
Advisory,4/3/2025,9:40 AM,4/3/2025,10:00 AM
Advisory,4/7/2025,10:10 AM,4/7/2025,10:30 AM
Advisory,4/10/2025,10:10 AM,4/10/2025,10:30 AM
Advisory,4/14/2025,9:40 AM,4/14/2025,10:00 AM
Advisory,4/17/2025,9:40 AM,4/17/2025,10:00 AM
Advisory,4/21/2025,10:10 AM,4/21/2025,10:30 AM
Advisory,4/28/2025,10:10 AM,4/28/2025,10:30 AM
Advisory,5/1/2025,10:10 AM,5/1/2025,10:30 AM
Advisory,5/5/2025,9:40 AM,5/5/2025,10:00 AM
Advisory,5/8/2025,9:40 AM,5/8/2025,10:00 AM
Advisory,5/12/2025,10:10 AM,5/12/2025,10:30 AM
Advisory,5/15/2025,9:40 AM,5/15/2025,10:00 AM
Advisory,5/19/2025,9:40 AM,5/19/2025,10:00 AM
