Subject,Start Date,Start Time,Start Date,End Time
Break,8/28/2024,1:00 PM,8/28/2024,1:30 PM
Break,8/29/2024,1:00 PM,8/29/2024,1:30 PM
Break,9/6/2024,1:00 PM,9/6/2024,1:30 PM
Break,9/9/2024,1:00 PM,9/9/2024,1:30 PM
Break,9/10/2024,9:40 AM,9/10/2024,10:00 AM
Break,9/12/2024,1:00 PM,9/12/2024,1:30 PM
Break,9/17/2024,9:40 AM,9/17/2024,10:00 AM
Break,9/19/2024,1:00 PM,9/19/2024,1:30 PM
Break,9/20/2024,1:00 PM,9/20/2024,1:30 PM
Break,9/24/2024,9:40 AM,9/24/2024,10:00 AM
Break,9/26/2024,1:00 PM,9/26/2024,1:30 PM
Break,9/30/2024,1:00 PM,9/30/2024,1:30 PM
Break,10/1/2024,9:40 AM,10/1/2024,10:00 AM
Break,10/3/2024,1:00 PM,10/3/2024,1:30 PM
Break,10/8/2024,9:40 AM,10/8/2024,10:00 AM
Break,10/9/2024,1:00 PM,10/9/2024,1:30 PM
Break,10/10/2024,1:00 PM,10/10/2024,1:30 PM
Break,10/21/2024,1:00 PM,10/21/2024,1:30 PM
Break,10/22/2024,9:40 AM,10/22/2024,10:00 AM
Break,10/25/2024,1:00 PM,10/25/2024,1:30 PM
Break,10/29/2024,10:10 AM,10/29/2024,10:30 AM
Break,10/30/2024,1:00 PM,10/30/2024,1:30 PM
Break,10/31/2024,1:00 PM,10/31/2024,1:30 PM
Break,11/1/2024,1:00 PM,11/1/2024,1:30 PM
Break,11/5/2024,9:40 AM,11/5/2024,10:00 AM
Break,11/8/2024,1:00 PM,11/8/2024,1:30 PM
Break,11/11/2024,1:00 PM,11/11/2024,1:30 PM
Break,11/12/2024,9:40 AM,11/12/2024,10:00 AM
Break,11/14/2024,1:00 PM,11/14/2024,1:30 PM
Break,11/19/2024,9:40 AM,11/19/2024,10:00 AM
Break,11/20/2024,1:00 PM,11/20/2024,1:30 PM
Break,11/21/2024,1:00 PM,11/21/2024,1:30 PM
Break,11/25/2024,1:00 PM,11/25/2024,1:30 PM
Break,11/26/2024,10:10 AM,11/26/2024,10:30 AM
Break,12/3/2024,9:40 AM,12/3/2024,10:00 AM
Break,12/4/2024,1:00 PM,12/4/2024,1:30 PM
Break,12/5/2024,1:00 PM,12/5/2024,1:30 PM
Break,12/9/2024,1:00 PM,12/9/2024,1:30 PM
Break,12/10/2024,9:40 AM,12/10/2024,10:00 AM
Break,1/6/2025,1:00 PM,1/6/2025,1:30 PM
Break,1/7/2025,9:40 AM,1/7/2025,10:00 AM
Break,1/8/2025,1:00 PM,1/8/2025,1:30 PM
Break,1/10/2025,1:00 PM,1/10/2025,1:30 PM
Break,1/14/2025,10:10 AM,1/14/2025,10:30 AM
Break,1/15/2025,1:00 PM,1/15/2025,1:30 PM
