Subject,Start Date,Start Time,End Date,End Time
A,8/25/2025,,8/25/2025,
A (1),8/26/2025,,8/26/2025,
A (2),9/5/2025,,9/5/2025,
A (3),9/16/2025,,9/16/2025,
A (4),9/25/2025,,9/25/2025,
A (5),10/9/2025,,10/9/2025,
A (6),10/21/2025,,10/21/2025,
A (7),10/30/2025,,10/30/2025,
A (8),11/10/2025,,11/10/2025,
A (9),11/19/2025,,11/19/2025,
A (10),12/1/2025,,12/1/2025,
A (1),1/6/2026,,1/6/2026,
A (2),1/15/2026,,1/15/2026,
A (3),1/27/2026,,1/27/2026,
A (4),2/5/2026,,2/5/2026,
A (5),2/17/2026,,2/17/2026,
A (6),2/26/2026,,2/26/2026,
A (7),3/9/2026,,3/9/2026,
A (8),3/30/2026,,3/30/2026,
A (9),4/13/2026,,4/13/2026,
A (10),4/22/2026,,4/22/2026,
A (11),5/4/2026,,5/4/2026,
B,8/27/2025,,8/27/2025,
B,9/8/2025,,9/8/2025,
B,9/18/2025,,9/18/2025,
B,9/30/2025,,9/30/2025,
B,10/10/2025,,10/10/2025,
B,10/22/2025,,10/22/2025,
B,10/31/2025,,10/31/2025,
B,11/11/2025,,11/11/2025,
B,11/20/2025,,11/20/2025,
B,12/4/2025,,12/4/2025,
B,1/7/2026,,1/7/2026,
B,1/16/2026,,1/16/2026,
B,1/28/2026,,1/28/2026,
B,2/6/2026,,2/6/2026,
B,2/18/2026,,2/18/2026,
B,2/27/2026,,2/27/2026,
B,3/10/2026,,3/10/2026,
B,4/3/2026,,4/3/2026,
B,4/14/2026,,4/14/2026,
B,4/24/2026,,4/24/2026,
B,5/5/2026,,5/5/2026,
B,5/13/2026,,5/13/2026,
C,8/28/2025,,8/28/2025,
C,9/9/2025,,9/9/2025,
C,9/19/2025,,9/19/2025,
C,10/1/2025,,10/1/2025,
C,10/14/2025,,10/14/2025,
C,10/23/2025,,10/23/2025,
C,11/3/2025,,11/3/2025,
C,11/12/2025,,11/12/2025,
C,11/21/2025,,11/21/2025,
C,12/5/2025,,12/5/2025,
C,1/8/2026,,1/8/2026,
C,1/20/2026,,1/20/2026,
C,1/29/2026,,1/29/2026,
C,2/9/2026,,2/9/2026,
C,2/19/2026,,2/19/2026,
C,3/2/2026,,3/2/2026,
C,3/12/2026,,3/12/2026,
C,4/6/2026,,4/6/2026,
C,4/15/2026,,4/15/2026,
C,4/27/2026,,4/27/2026,
C,5/6/2026,,5/6/2026,
C,5/14/2026,,5/14/2026,
D,8/29/2025,,8/29/2025,
D,9/10/2025,,9/10/2025,
D,9/22/2025,,9/22/2025,
D,10/2/2025,,10/2/2025,
D,10/15/2025,,10/15/2025,
D,10/24/2025,,10/24/2025,
D,11/4/2025,,11/4/2025,
D,11/13/2025,,11/13/2025,
D,11/24/2025,,11/24/2025,
D,12/8/2025,,12/8/2025,
D,1/9/2026,,1/9/2026,
D,1/21/2026,,1/21/2026,
D,1/30/2026,,1/30/2026,
D,2/10/2026,,2/10/2026,
D,2/20/2026,,2/20/2026,
D,3/3/2026,,3/3/2026,
D,3/31/2026,,3/31/2026,
D,4/7/2026,,4/7/2026,
D,4/16/2026,,4/16/2026,
D,4/28/2026,,4/28/2026,
D,5/7/2026,,5/7/2026,
D,5/15/2026,,5/15/2026,
E,9/2/2025,,9/2/2025,
E,9/11/2025,,9/11/2025,
E,9/23/2025,,9/23/2025,
E,10/3/2025,,10/3/2025,
E,10/16/2025,,10/16/2025,
E,10/27/2025,,10/27/2025,
E,11/5/2025,,11/5/2025,
E,11/17/2025,,11/17/2025,
E,12/2/2025,,12/2/2025,
E,12/9/2025,,12/9/2025,
E,1/12/2026,,1/12/2026,
E,1/22/2026,,1/22/2026,
E,2/2/2026,,2/2/2026,
E,2/11/2026,,2/11/2026,
E,2/23/2026,,2/23/2026,
E,3/4/2026,,3/4/2026,
E,4/1/2026,,4/1/2026,
E,4/8/2026,,4/8/2026,
E,4/17/2026,,4/17/2026,
E,4/29/2026,,4/29/2026,
E,5/8/2026,,5/8/2026,
E,5/18/2026,,5/18/2026,
F,9/3/2025,,9/3/2025,
F,9/12/2025,,9/12/2025,
F,9/24/2025,,9/24/2025,
F,10/6/2025,,10/6/2025,
F,10/17/2025,,10/17/2025,
F,10/28/2025,,10/28/2025,
F,11/6/2025,,11/6/2025,
F,11/18/2025,,11/18/2025,
F,12/3/2025,,12/3/2025,
F,12/10/2025,,12/10/2025,
F,1/13/2026,,1/13/2026,
F,1/26/2026,,1/26/2026,
F,2/3/2026,,2/3/2026,
F,2/12/2026,,2/12/2026,
F,2/24/2026,,2/24/2026,
F,3/5/2026,,3/5/2026,
F,4/2/2026,,4/2/2026,
F,4/9/2026,,4/9/2026,
F,4/20/2026,,4/20/2026,
F,4/30/2026,,4/30/2026,
F,5/11/2026,,5/11/2026,
F,5/19/2026,,5/19/2026,
G,9/4/2025,,9/4/2025,
G,9/15/2025,,9/15/2025,
G,9/26/2025,,9/26/2025,
G,10/7/2025,,10/7/2025,
G,10/20/2025,,10/20/2025,
G,10/29/2025,,10/29/2025,
G,11/7/2025,,11/7/2025,
G,11/14/2025,,11/14/2025,
G,11/25/2025,,11/25/2025,
G,12/11/2025,,12/11/2025,
G,1/14/2026,,1/14/2026,
G,1/23/2026,,1/23/2026,
G,2/4/2026,,2/4/2026,
G,2/13/2026,,2/13/2026,
G,2/25/2026,,2/25/2026,
G,3/6/2026,,3/6/2026,
G,3/13/2026,,3/13/2026,
G,4/10/2026,,4/10/2026,
G,4/21/2026,,4/21/2026,
G,5/1/2026,,5/1/2026,
G,5/12/2026,,5/12/2026,
G,5/20/2026,,5/20/2026,
HCD,9/17/2025,,9/17/2025,
SLD,4/23/2026,,4/23/2026,
Exams,5/21/2026,,5/21/2026,
Exams,5/22/2026,,5/22/2026,
Exams,5/26/2026,,5/26/2026,
Exams,5/27/2026,,5/27/2026,
MCD,3/11/2026,,3/11/2026,
Exams,12/12/2025,,12/12/2025,
Exams,12/15/2025,,12/15/2025,
Exams,12/16/2025,,12/16/2025,
Exams,12/17/2025,,12/17/2025,
PSAT,10/8/2025,,10/8/2025,
