Subject,Start Date,Start Time,End Date,End Time
Meeting Period - Committee,8/26/25,2:30 PM,8/26/25,3:15 PM
Meeting Period - Department,9/2/25,2:30 PM,9/2/25,3:15 PM
Meeting Period - Committee,9/9/25,2:30 PM,9/9/25,3:15 PM
Meeting Period - Department,9/16/25,2:30 PM,9/16/25,3:15 PM
Meeting Period - Committee,9/23/25,2:30 PM,9/23/25,3:15 PM
Meeting Period - Department,9/30/25,2:30 PM,9/30/25,3:15 PM
Meeting Period - Committee,10/14/25,2:30 PM,10/14/25,3:15 PM
Meeting Period - Department,10/21/25,2:30 PM,10/21/25,3:15 PM
Meeting Period - Committee,10/28/25,2:30 PM,10/28/25,3:15 PM
Meeting Period - Department,11/11/25,2:30 PM,11/11/25,3:15 PM
Meeting Period - Committee,11/18/25,2:30 PM,11/18/25,3:15 PM
Meeting Period - Department,12/2/25,2:30 PM,12/2/25,3:15 PM
Meeting Period - Committee,12/9/25,2:30 PM,12/9/25,3:15 PM
Meeting Period - Department,1/6/26,2:30 PM,1/6/26,3:15 PM
Meeting Period - Committee,1/13/26,2:30 PM,1/13/26,3:15 PM
Meeting Period - Department,1/20/26,2:30 PM,1/20/26,3:15 PM
Meeting Period - Committee,1/27/26,2:30 PM,1/27/26,3:15 PM
Meeting Period - Department,2/17/26,2:30 PM,2/17/26,3:15 PM
Meeting Period - Committee,3/10/26,2:30 PM,3/10/26,3:15 PM
Meeting Period - Department,4/14/26,2:30 PM,4/14/26,3:15 PM
Meeting Period - Committee,5/5/26,2:30 PM,5/5/26,3:15 PM
