Subject,Start Date,Start Time,Start Date,End Time,All Day Event,Description,Location,Private
Morning Meeting,8/28/2024,9:40 AM,8/28/2024,10:00 AM,,,,
Morning Meeting,8/30/2024,10:10 AM,8/30/2024,10:30 AM,,,,
Morning Meeting,9/4/2024,9:40 AM,9/4/2024,10:00 AM,,,,
Morning Meeting,9/11/2024,10:10 AM,9/11/2024,10:30 AM,,,,
Morning Meeting,9/13/2024,9:40 AM,9/13/2024,10:00 AM,,,,
Morning Meeting,9/20/2024,9:40 AM,9/20/2024,10:00 AM,,,,
Morning Meeting,9/25/2024,9:40 AM,9/25/2024,10:00 AM,,,,
Morning Meeting,9/27/2024,10:10 AM,9/27/2024,10:30 AM,,,,
Morning Meeting,10/2/2024,10:10 AM,10/2/2024,10:30 AM,,,,
Morning Meeting,10/4/2024,9:40 AM,10/4/2024,10:00 AM,,,,
Morning Meeting,10/9/2024,9:40 AM,10/9/2024,10:00 AM,,,,
Morning Meeting,10/11/2024,10:10 AM,10/11/2024,10:30 AM,,,,
Morning Meeting,10/18/2024,10:10 AM,10/18/2024,10:30 AM,,,,
Morning Meeting,10/23/2024,9:40 AM,10/23/2024,10:00 AM,,,,
Morning Meeting,10/25/2024,9:40 AM,10/25/2024,10:00 AM,,,,
Morning Meeting,10/30/2024,9:40 AM,10/30/2024,10:00 AM,,,,
Morning Meeting,11/1/2024,9:40 AM,11/1/2024,10:00 AM,,,,
Morning Meeting,11/6/2024,9:40 AM,11/6/2024,10:00 AM,,,,
Morning Meeting,11/8/2024,9:40 AM,11/8/2024,10:00 AM,,,,
Morning Meeting,11/13/2024,10:10 AM,11/13/2024,10:30 AM,,,,
Morning Meeting,11/15/2024,9:40 AM,11/15/2024,10:00 AM,,,,
Morning Meeting,11/20/2024,9:40 AM,11/20/2024,10:00 AM,,,,
Morning Meeting,11/22/2024,10:10 AM,11/22/2024,10:30 AM,,,,
Morning Meeting,12/4/2024,9:40 AM,12/4/2024,10:00 AM,,,,
Morning Meeting,12/6/2024,10:10 AM,12/6/2024,10:30 AM,,,,
Morning Meeting,12/11/2024,10:10 AM,12/11/2024,10:30 AM,,,,
Morning Meeting,1/8/2025,9:40 AM,1/8/2025,10:00 AM,,,,
Morning Meeting,1/10/2025,9:40 AM,1/10/2025,10:00 AM,,,,
Morning Meeting,1/15/2025,9:40 AM,1/15/2025,10:00 AM,,,,
Morning Meeting,1/17/2025,9:40 AM,1/17/2025,10:00 AM,,,,
Morning Meeting,1/22/2025,9:40 AM,1/22/2025,10:00 AM,,,,
Morning Meeting,1/24/2025,10:10 AM,1/24/2025,10:30 AM,,,,
Morning Meeting,1/29/2025,9:40 AM,1/29/2025,10:00 AM,,,,
Morning Meeting,1/31/2025,9:40 AM,1/31/2025,10:00 AM,,,,
Morning Meeting,2/5/2025,9:40 AM,2/5/2025,10:00 AM,,,,
Morning Meeting,2/7/2025,9:40 AM,2/7/2025,10:00 AM,,,,
Morning Meeting,2/12/2025,9:40 AM,2/12/2025,10:00 AM,,,,
Morning Meeting,2/14/2025,9:40 AM,2/14/2025,10:00 AM,,,,
Morning Meeting,2/19/2025,9:40 AM,2/19/2025,10:00 AM,,,,
Morning Meeting,2/21/2025,9:40 AM,2/21/2025,10:00 AM,,,,
Morning Meeting,2/26/2025,9:40 AM,2/26/2025,10:00 AM,,,,
Morning Meeting,2/28/2025,9:40 AM,2/28/2025,10:00 AM,,,,
Morning Meeting,3/5/2025,9:40 AM,3/5/2025,10:00 AM,,,,
Morning Meeting,3/7/2025,9:40 AM,3/7/2025,10:00 AM,,,,
Morning Meeting,3/14/2025,10:10 AM,3/14/2025,10:30 AM,,,,
Morning Meeting,4/2/2025,9:40 AM,4/2/2025,10:00 AM,,,,
Morning Meeting,4/4/2025,9:40 AM,4/4/2025,10:00 AM,,,,
Morning Meeting,4/9/2025,9:40 AM,4/9/2025,10:00 AM,,,,
Morning Meeting,4/11/2025,9:40 AM,4/11/2025,10:00 AM,,,,
Morning Meeting,4/16/2025,9:40 AM,4/16/2025,10:00 AM,,,,
Morning Meeting,4/18/2025,10:10 AM,4/18/2025,10:30 AM,,,,
Morning Meeting,4/23/2025,9:40 AM,4/23/2025,10:00 AM,,,,
Morning Meeting,4/25/2025,9:40 AM,4/25/2025,10:00 AM,,,,
Morning Meeting,4/30/2025,9:40 AM,4/30/2025,10:00 AM,,,,
Morning Meeting,5/2/2025,9:40 AM,5/2/2025,10:00 AM,,,,
Morning Meeting,5/7/2025,10:10 AM,5/7/2025,10:30 AM,,,,
Morning Meeting,5/9/2025,9:40 AM,5/9/2025,10:00 AM,,,,
Morning Meeting,5/14/2025,9:40 AM,5/14/2025,10:00 AM,,,,
Morning Meeting,5/16/2025,10:10 AM,5/16/2025,10:30 AM,,,,
Morning Meeting,5/21/2025,10:10 AM,5/21/2025,10:30 AM,,,,
